date	value
20160228	0.61
20160229	0.56
20160301	0.54
20160302	0.57
20160303	0.65
20160304	0.68
20160305	2.77
20160306	1.31
20160307	1.03
20160308	0.90
20160309	0.82
20160310	0.73
20160311	0.68
20160312	0.64
20160313	0.62
20160314	0.59
20160315	0.57
20160316	0.57
20160317	0.54
20160318	0.53
20160319	0.52
20160320	0.50
20160321	0.49
20160322	0.49
20160323	0.48
20160324	0.47
20160325	0.47
20160326	0.46
20160327	0.45
20160328	0.45
20160329	0.44
20160330	0.44
20160331	0.43
20160401	0.43
20160402	0.43
20160403	0.41
20160404	0.40
20160405	0.43
20160406	0.55
20160407	0.43
20160408	0.41
20160409	0.45
20160410	0.40
20160411	0.40
20160412	0.40
20160413	0.71
20160414	0.63
20160415	0.49
20160416	0.63
20160417	1.88
20160418	1.99
20160419	1.07
20160420	0.83
20160421	0.72
20160422	0.67
20160423	0.86
20160424	0.78
20160425	0.69
20160426	0.68
20160427	0.63
20160428	0.58
20160429	0.56
20160430	0.56
20160501	0.76
20160502	0.72
20160503	0.63
20160504	0.57
20160505	0.55
20160506	0.53
20160507	0.50
20160508	0.49
20160509	0.47
20160510	0.47
20160511	0.47
20160512	0.73
20160513	0.82
20160514	0.62
20160515	0.54
20160516	0.50
20160517	0.48
20160518	0.48
20160519	1.19
20160520	0.71
20160521	0.60
20160522	0.54
20160523	1.14
20160524	0.85
20160525	0.70
20160526	0.62
20160527	0.56
20160528	0.85
20160529	0.75
20160530	0.74
20160531	0.71
20160601	0.63
20160602	0.73
20160603	0.78
20160604	0.73
20160605	0.65
20160606	0.60
20160607	0.54
20160608	0.59
20160609	0.55
20160610	0.51
20160611	0.84
20160612	0.69
20160613	0.70
20160614	0.76
20160615	0.69
20160616	1.17
20160617	0.88
20160618	0.80
20160619	0.75
20160620	0.68
20160621	0.64
20160622	0.58
20160623	0.53
20160624	0.50
20160625	0.57
20160626	0.52
20160627	0.49
20160628	0.48
20160629	0.46
20160630	0.58
20160701	0.49
20160702	0.88
20160703	0.55
20160704	0.49
20160705	0.47
20160706	0.45
20160707	0.43
20160708	0.42
20160709	0.41
20160710	0.41
20160711	0.43
20160712	0.81
20160713	0.70
20160714	0.52
20160715	0.49
20160716	0.48
20160717	0.46
20160718	0.46
20160719	0.40
20160720	0.39
20160721	0.39
20160722	0.50
20160723	0.51
20160724	0.40
20160725	0.36
20160726	0.35
20160727	0.35
20160728	0.33
20160729	0.33
20160730	0.33
20160731	0.77
20160801	0.50
20160802	0.40
20160803	0.38
20160804	0.49
20160805	0.66
20160806	0.42
20160807	0.39
20160808	0.38
20160809	0.37
20160810	0.38
20160811	0.34
20160812	0.32
20160813	0.31
20160814	0.30
20160815	0.29
20160816	0.29
20160817	0.29
20160818	0.32
20160819	0.38
20160820	0.36
20160821	0.34
20160822	0.30
20160823	0.29
20160824	0.28
20160825	0.27
20160826	0.26
20160827	0.26
20160828	0.26
20160829	0.26
20160830	0.26
20160831	0.30
20160901	0.30
20160902	0.27
20160903	0.26
20160904	0.28
20160905	0.54
20160906	0.33
20160907	0.32
20160908	0.30
20160909	0.27
20160910	0.26
20160911	0.25
20160912	0.25
20160913	0.25
20160914	0.25
20160915	0.28
20160916	0.44
20160917	0.43
20160918	0.44
20160919	0.43
20160920	0.32
20160921	0.30
20160922	0.29
20160923	0.28
20160924	0.27
20160925	0.27
20160926	0.26
20160927	0.26
20160928	0.25
20160929	0.25
20160930	0.25
20161001	0.30
20161002	0.31
20161003	0.27
20161004	0.27
20161005	0.27
20161006	0.27
20161007	0.27
20161008	0.27
20161009	0.27
20161010	0.27
20161011	0.27
20161012	0.27
20161013	0.30
20161014	0.40
20161015	0.30
20161016	0.29
20161017	0.31
20161018	0.40
20161019	0.30
20161020	0.29
20161021	0.28
20161022	0.27
20161023	0.34
20161024	0.31
20161025	1.23
20161026	0.82
20161027	0.58
20161028	0.45
20161029	0.39
20161030	0.36
20161031	0.36
20161101	0.35
20161102	0.34
20161103	0.33
20161104	0.33
20161105	1.33
20161106	1.71
20161107	0.72
20161108	0.56
20161109	0.55
20161110	1.32
20161111	2.16
20161112	0.94
20161113	0.74
20161114	0.69
20161115	0.60
20161116	0.56
20161117	0.54
20161118	0.87
20161119	1.39
20161120	0.92
20161121	0.74
20161122	0.64
20161123	0.58
20161124	0.56
20161125	0.53
20161126	0.50
20161127	0.48
20161128	0.47
20161129	0.47
20161130	0.46
20161201	0.47
20161202	0.45
20161203	0.43
20161204	0.43
20161205	0.43
20161206	0.42
20161207	0.41
20161208	0.40
20161209	0.40
20161210	0.40
20161211	0.40
20161212	0.40
20161213	0.39
20161214	0.39
20161215	0.38
20161216	0.37
20161217	0.37
20161218	0.37
20161219	0.37
20161220	0.37
20161221	0.37
20161222	0.36
20161223	0.36
20161224	0.35
20161225	0.35
20161226	0.35
20161227	0.34
20161228	0.35
20161229	0.35
20161230	0.34
20161231	0.34
20170101	0.35
20170102	0.34
20170103	0.34
20170104	0.34
20170105	0.33
20170106	0.33
20170107	0.33
20170108	0.34
20170109	0.33
20170110	0.35
20170111	0.34
20170112	0.39
20170113	0.52
20170114	0.40
20170115	0.37
20170116	0.36
20170117	0.35
20170118	0.34
20170119	0.34
20170120	0.33
20170121	0.33
20170122	0.33
20170123	0.33
20170124	0.33
20170125	0.32
20170126	0.32
20170127	0.32
20170128	0.32
20170129	0.31
20170130	0.36
20170131	0.60
20170201	0.49
20170202	0.42
20170203	0.42
20170204	0.72
20170205	0.70
20170206	0.85
20170207	0.80
20170208	0.79
20170209	0.70
20170210	0.59
20170211	0.53
20170212	0.49
20170213	0.47
20170214	0.44
20170215	0.43
20170216	0.42
20170217	0.40
20170218	0.40
20170219	0.40
20170220	0.39
20170221	0.38
20170222	0.38
20170223	0.38
20170224	0.38
20170225	0.37
20170226	0.37
20170227	0.37
20170228	0.72
20170301	0.59
20170302	0.74
20170303	0.60
20170304	0.56
20170305	0.55
20170306	0.93
20170307	1.09
20170308	0.78
20170309	0.74
20170310	0.66
20170311	0.59
20170312	0.55
20170313	0.51
20170314	0.48
20170315	0.47
20170316	0.46
20170317	0.45
20170318	0.46
20170319	0.44
20170320	0.43
20170321	0.42
20170322	0.51
20170323	0.63
20170324	0.45
20170325	0.43
20170326	0.43
20170327	0.40
20170328	0.40
20170329	0.39
20170330	0.39
20170331	0.39
20170401	0.39
20170402	0.37
20170403	0.37
20170404	0.37
20170405	0.36
20170406	0.36
20170407	0.35
20170408	0.34
20170409	0.35
